CU Number,Status,Type,Type Description,Description 1,Description 2,Creation Date,Modified Date
ASSY875-2,Active,SL,19200. STREET LIGHTING MATERIALS,LP35 Label for LED lamp,ASSY875-2,17/08/2021,17/08/2021
ASSY875-3,Active,SL,19200. STREET LIGHTING MATERIALS,LP35  3K Label for LED lamp,ASSY875-3,17/08/2021,17/08/2021
ASSY875-4,Active,SL,19200. STREET LIGHTING MATERIALS,LP21 Label for LED lamp,ASSY875-4,17/08/2021,17/08/2021
ASSY875-5,Active,SL,19200. STREET LIGHTING MATERIALS,LP21 Label for LED lamp,ASSY875-5,17/08/2021,17/08/2021
ASSY876-1,Active,SL,19200. STREET LIGHTING MATERIALS,UNMETERED SUPPLY FROM PUBLIC LIGHT POLE,ASSY876-1,9/10/2013,25/10/2023
ASSY880-1,Active,SL,19200. STREET LIGHTING MATERIALS,NUMBERING OPTIONS WOOD POLE,ASSY880-1,10/10/2013,19/11/2015
ASSY880-2,Active,SL,19200. STREET LIGHTING MATERIALS,NUMBERING OPTIONS CONC/STEEL POLE,ASSY880-2,10/10/2013,19/11/2015
ASSY883-1,Active,SL,19200. STREET LIGHTING MATERIALS,WATCHMANFLOODLIGHT CIRCUIT BREAKER,ASSY883-1,10/10/2013,19/11/2015
ASSY890-10,Active,SL,19200. STREET LIGHTING MATERIALS,LUMIN L17 Nost. 4K Green (No Bracket),ASSY890-10,19/05/2021,19/05/2021
ASSY890-11,Active,SL,19200. STREET LIGHTING MATERIALS,LUMIN L17 Nost. 4K Black (No Bracket),ASSY890-11,19/05/2021,19/05/2021
ASSY890-12,Active,SL,19200. STREET LIGHTING MATERIALS,LUMIN L17 Nost. 4K Blue/Grey (No Bracket,ASSY890-12,19/05/2021,19/05/2021
ASSY890-13,Active,SL,19200. STREET LIGHTING MATERIALS,LUMIN L25 Nost. 4K Green (No Bracket),ASSY890-13,19/05/2021,19/05/2021
ASSY890-14,Active,SL,19200. STREET LIGHTING MATERIALS,LUMIN L25 Nost. 4K Black (No Bracket),ASSY890-14,19/05/2021,19/05/2021
ASSY890-15,Active,SL,19200. STREET LIGHTING MATERIALS,LUMIN L25 Nost. 4K Blue/Grey (No Bracket,ASSY890-15,19/05/2021,19/05/2021
ASSY890-16,Active,SL,19200. STREET LIGHTING MATERIALS,LUMIN L30 Nost. 4K Green (No Bracket),ASSY890-16,19/05/2021,19/05/2021
ASSY890-17,Active,SL,19200. STREET LIGHTING MATERIALS,LUMIN L30 Nost. 4K Black (No Bracket),ASSY890-17,19/05/2021,19/05/2021
ASSY890-18,Active,SL,19200. STREET LIGHTING MATERIALS,LUMIN L30 Nost. 4K Blue/Grey (No Bracket,ASSY890-18,19/05/2021,19/05/2021
ASSY890-19,Active,SL,19200. STREET LIGHTING MATERIALS,Lumin L14 Nost 4K Green (No Bracket),ASSY890-19,11/05/2022,11/05/2022
ASSY890-2,Active,SL,19200. STREET LIGHTING MATERIALS,LUMINAIRE M80 NOST T2 GREEN (No Bracket),ASSY890-2,10/10/2013,19/11/2015
ASSY890-20,Active,SL,19200. STREET LIGHTING MATERIALS,Lumin L14 Nost 4K Black (No Bracket),ASSY890-20,11/05/2022,11/05/2022
ASSY890-21,Active,SL,19200. STREET LIGHTING MATERIALS,Lumin L14 Nost 4K Blue/G (No Bracket),ASSY890-21,11/05/2022,11/05/2022
ASSY890-22,Active,SL,19200. STREET LIGHTING MATERIALS,Lumin L18 Nost 4K Green (No Bracket),ASSY890-22,11/05/2022,11/05/2022
ASSY890-23,Active,SL,19200. STREET LIGHTING MATERIALS,Lumin L18 Nost 4K Black (No Bracket),ASSY890-23,11/05/2022,11/05/2022
ASSY890-24,Active,SL,19200. STREET LIGHTING MATERIALS,Lumin L18 Nost 4K Blue/G (No Bracket),ASSY890-24,11/05/2022,11/05/2022
ASSY890-25,Active,SL,19200. STREET LIGHTING MATERIALS,Luminaire L14 3K Nost Green,ASSY890-25,24/01/2023,24/01/2023
ASSY890-26,Active,SL,19200. STREET LIGHTING MATERIALS,Luminaire L14 3K Nost Black,ASSY890-26,24/01/2023,24/01/2023
ASSY890-27,Active,SL,19200. STREET LIGHTING MATERIALS,Luminaire L14 3K Nost Blue/Grey,ASSY890-27,24/01/2023,24/01/2023
ASSY890-28,Active,SL,19200. STREET LIGHTING MATERIALS,Luminaire L18 3K Nost Green,ASSY890-28,24/01/2023,24/01/2023
ASSY890-29,Active,SL,19200. STREET LIGHTING MATERIALS,Luminaire L18 3K Nost Black,ASSY890-29,24/01/2023,24/01/2023
ASSY890-30,Active,SL,19200. STREET LIGHTING MATERIALS,Luminaire L18 3K Nost Blue/Grey,ASSY890-30,24/01/2023,24/01/2023
ASSY891-1,Active,SL,19200. STREET LIGHTING MATERIALS,MAJOR ROAD PEDESTRIAN OUTREACH ARM PF1,ASSY891-1,10/10/2013,19/11/2015
ASSY892-1,Active,SL,19200. STREET LIGHTING MATERIALS,MAJOR ROAD PEDESTRIAN OUTREACH ARM PF2,ASSY892-1,10/10/2013,19/11/2015
ASSY893-1,Active,SL,19200. STREET LIGHTING MATERIALS,MAJOR ROAD PEDESTRIAN OUTREACH ARM PF3,ASSY893-1,10/10/2013,19/11/2015
ASSY894-1,Active,SL,19200. STREET LIGHTING MATERIALS,MAJOR ROAD OUTREACH SPECIAL SINGLE,ASSY894-1,10/10/2013,19/11/2015
ASSY895-1,Active,SL,19200. STREET LIGHTING MATERIALS,MAJOR ROAD OUTREACH SPECIAL DUAL,ASSY895-1,10/10/2013,19/11/2015
ASSY896-1,Active,SL,19200. STREET LIGHTING MATERIALS,MINOR ROAD OUTREACH SPECIAL SINGLE,ASSY896-1,10/10/2013,19/11/2015
ASSY897-1,Active,SL,19200. STREET LIGHTING MATERIALS,CABLE COVER TO CROSSARM,ASSY897-1,10/10/2013,22/04/2020
ASSY898-1,Active,SL,19200. STREET LIGHTING MATERIALS,MINOR ROAD UNDERBRIDGE BRACKET,ASSY898-1,10/10/2013,19/11/2015
ASSY898-2,Active,SL,19200. STREET LIGHTING MATERIALS,MAJOR ROAD UNDERBRIDGE BRACKET,ASSY898-2,10/10/2013,19/11/2015
ASSY899-1,Active,SL,19200. STREET LIGHTING MATERIALS,SPECIAL BULKHEAD S150,ASSY899-1,10/10/2013,19/11/2015
ASSY901-1,Active,SL,19200. STREET LIGHTING MATERIALS,PE CELL - D-2 LOW RATING,ASSY901-1,10/10/2013,19/11/2015
ASSY901-2,Active,SL,19200. STREET LIGHTING MATERIALS,PE CELL - NEMA HIGH RATING,ASSY901-2,10/10/2013,19/11/2015
ASSY902-1,Active,SL,19200. STREET LIGHTING MATERIALS,LAMP HIGH PRESSURE SODIUM S70,ASSY902-1,10/10/2013,19/11/2015
ASSY902-10,Active,SL,19200. STREET LIGHTING MATERIALS,LAMP METAL HALIDE H150,ASSY902-10,10/10/2013,19/11/2015
ASSY902-11,Active,SL,19200. STREET LIGHTING MATERIALS,LAMP METAL HALIDE H250,ASSY902-11,10/10/2013,19/11/2015
ASSY902-12,Active,SL,19200. STREET LIGHTING MATERIALS,LAMP METAL HALIDE H400,ASSY902-12,10/10/2013,12/07/2016
ASSY902-13,Active,SL,19200. STREET LIGHTING MATERIALS,LAMP COMPACT FLOURESCENT CF26,ASSY902-13,10/10/2013,19/11/2015
ASSY902-14,Active,SL,19200. STREET LIGHTING MATERIALS,LAMP COMPACT FLOURESCENT CF32,ASSY902-14,10/10/2013,19/11/2015
ASSY902-15,Active,SL,19200. STREET LIGHTING MATERIALS,LAMP COMPACT FLOURESCENT CF42,ASSY902-15,10/10/2013,19/11/2015
ASSY902-16,Active,SL,19200. STREET LIGHTING MATERIALS,LAMP LINEAR FLOURESCENT LF14,ASSY902-16,10/10/2013,19/11/2015
ASSY902-17,Active,SL,19200. STREET LIGHTING MATERIALS,LAMP LINEAR FLOURESCENT LF24,ASSY902-17,10/10/2013,19/11/2015
ASSY902-18,Active,SL,19200. STREET LIGHTING MATERIALS,LAMP LINEAR FLOURESCENT LF36,ASSY902-18,10/10/2013,19/11/2015
ASSY902-2,Active,SL,19200. STREET LIGHTING MATERIALS,LAMP HIGH PRESSURE SODIUM S100,ASSY902-2,10/10/2013,19/11/2015
ASSY902-3,Active,SL,19200. STREET LIGHTING MATERIALS,LAMP HIGH PRESSURE SODIUM S150,ASSY902-3,10/10/2013,19/11/2015
ASSY902-30,Active,SL,19200. STREET LIGHTING MATERIALS,Lamp LED 35W 4K,ASSY902-30,17/08/2021,17/08/2021
ASSY902-31,Active,SL,19200. STREET LIGHTING MATERIALS,Lamp LED 35W 3K,ASSY902-31,17/08/2021,17/08/2021
ASSY902-32,Active,SL,19200. STREET LIGHTING MATERIALS,Lamp LED 21W 4K,ASSY902-32,17/08/2021,17/08/2021
ASSY902-33,Active,SL,19200. STREET LIGHTING MATERIALS,Lamp LED 21W 3K,ASSY902-33,17/08/2021,17/08/2021
ASSY902-4,Active,SL,19200. STREET LIGHTING MATERIALS,LAMP HIGH PRESSURE SODIUM S250,ASSY902-4,10/10/2013,19/11/2015
ASSY902-5,Active,SL,19200. STREET LIGHTING MATERIALS,LAMP HIGH PRESSURE SODIUM S400,ASSY902-5,10/10/2013,19/11/2015
ASSY902-6,Active,SL,19200. STREET LIGHTING MATERIALS,LAMP MERCURY VAPOUR M50,ASSY902-6,10/10/2013,19/11/2015
ASSY902-7,Active,SL,19200. STREET LIGHTING MATERIALS,LAMP MERCURY VAPOUR M80,ASSY902-7,10/10/2013,19/11/2015
ASSY902-9,Active,SL,19200. STREET LIGHTING MATERIALS,LAMP METAL HALIDE H70,ASSY902-9,10/10/2013,19/11/2015
ASSY904-1,Active,SL,19200. STREET LIGHTING MATERIALS,FUSEHOLDER TO WOOD POLE,ASSY904-1,30/04/2019,30/04/2019
ASSY906-2,Active,SL,19200. STREET LIGHTING MATERIALS,BANDIT STRAP TO POLE,ASSY906-2,30/04/2019,30/04/2019
ASSY913-10,Active,SL,19200. STREET LIGHTING MATERIALS,Philips RoadFlair BRP391 LED96 80 W,ASSY913-10,26/02/2019,21/07/2020
ASSY913-11,Active,SL,19200. STREET LIGHTING MATERIALS,Philips RoadFlair BRP393 LED204 170 W,ASSY913-11,26/02/2019,21/07/2020
ASSY913-12,Active,SL,19200. STREET LIGHTING MATERIALS,Philips RoadFlair BRP394 LED324 270 W,ASSY913-12,26/02/2019,21/07/2020
ASSY913-13,Active,SL,19200. STREET LIGHTING MATERIALS,Philips RoadFlair BRP393 LED288 240 W,ASSY913-13,26/02/2019,21/07/2020
ASSY913-14,Active,SL,19200. STREET LIGHTING MATERIALS,"Philips RoadFlair BRP391 (L50A) 3K,",ASSY913-14,21/07/2020,21/07/2020
ASSY913-15,Active,SL,19200. STREET LIGHTING MATERIALS,"Philips RoadFlair BRP391 (L80A) 3K,",ASSY913-15,21/07/2020,21/07/2020
ASSY913-16,Active,SL,19200. STREET LIGHTING MATERIALS,"Philips RoadFlair BRP392 (L90A) 3K,",ASSY913-16,21/07/2020,21/07/2020
ASSY913-17,Active,SL,19200. STREET LIGHTING MATERIALS,"Philips RoadFlair BRP393 (L170A) 3K,",ASSY913-17,21/07/2020,21/07/2020
ASSY913-18,Active,SL,19200. STREET LIGHTING MATERIALS,"Philips RoadFlair BRP393 (L240A) 3K,",ASSY913-18,21/07/2020,21/07/2020
ASSY913-19,Active,SL,19200. STREET LIGHTING MATERIALS,"Philips RoadFlair BRP394 (L270A) 3K,",ASSY913-19,21/07/2020,21/07/2020
ASSY913-20,Active,SL,19200. STREET LIGHTING MATERIALS,Adaptor For Rdflair BPR391 BRP392 BRP393,ASSY913-20,24/01/2023,24/01/2023
ASSY913-21,Active,SL,19200. STREET LIGHTING MATERIALS,Adaptor to suit Roadflair BRP394,ASSY913-21,24/01/2023,24/01/2023
ASSY913-22,Active,SL,19200. STREET LIGHTING MATERIALS,Luminaire L38A A/Scrn 3K Philips,ASSY913-22,24/01/2023,24/01/2023
ASSY913-23,Active,SL,19200. STREET LIGHTING MATERIALS,Luminaire L61A A/Scrn 3K Philips,ASSY913-23,24/01/2023,24/01/2023
ASSY913-24,Active,SL,19200. STREET LIGHTING MATERIALS,Luminaire L70A A/Scrn 3K Philips,ASSY913-24,24/01/2023,24/01/2023
ASSY913-25,Active,SL,19200. STREET LIGHTING MATERIALS,Luminaire L113A A/Scrn 3K Philips,ASSY913-25,24/01/2023,24/01/2023
ASSY913-26,Active,SL,19200. STREET LIGHTING MATERIALS,Luminaire L143A A/Scrn 3K Philips,ASSY913-26,24/01/2023,24/01/2023
ASSY913-27,Active,SL,19200. STREET LIGHTING MATERIALS,Luminaire L210A A/Scrn 3K Philips,ASSY913-27,24/01/2023,24/01/2023
ASSY913-28,Active,SL,19200. STREET LIGHTING MATERIALS,Luminaire L225A A/Scrn 3K Philips,ASSY913-28,24/01/2023,24/01/2023
ASSY913-29,Active,SL,19200. STREET LIGHTING MATERIALS,Luminaire L37A A/Scrn 4K Philips,ASSY913-29,24/01/2023,24/01/2023
ASSY913-30,Active,SL,19200. STREET LIGHTING MATERIALS,Luminaire L60A A/Scrn 4K Philips,ASSY913-30,24/01/2023,24/01/2023
ASSY913-31,Active,SL,19200. STREET LIGHTING MATERIALS,Luminaire L67A A/Scrn 4K Philips,ASSY913-31,24/01/2023,24/01/2023
ASSY913-32,Active,SL,19200. STREET LIGHTING MATERIALS,Luminaire L113A A/Scrn 4K Philips,ASSY913-32,24/01/2023,24/01/2023
ASSY913-33,Active,SL,19200. STREET LIGHTING MATERIALS,Luminaire L138A A/Scrn 4K Philips,ASSY913-33,24/01/2023,24/01/2023
ASSY913-34,Active,SL,19200. STREET LIGHTING MATERIALS,Luminaire L204A A/Scrn 4K Philips,ASSY913-34,24/01/2023,24/01/2023
ASSY913-35,Active,SL,19200. STREET LIGHTING MATERIALS,Luminaire L220A A/Scrn 4K Philips,ASSY913-35,24/01/2023,24/01/2023
ASSY913-6,Active,SL,19200. STREET LIGHTING MATERIALS,Luminaire LED 40W Evolve Leopard L40 AS,ASSY913-6,19/05/2022,19/05/2022
ASSY913-8,Active,SL,19200. STREET LIGHTING MATERIALS,Philips RoadFlair BRP391 LED60 50 W,ASSY913-8,26/02/2019,21/07/2020
ASSY913-9,Active,SL,19200. STREET LIGHTING MATERIALS,Philips RoadFlair BRP392 LED108 90 W,ASSY913-9,26/02/2019,21/07/2020
ASSY914-10,Active,SL,19200. STREET LIGHTING MATERIALS,LED Floodlight Symmetrical Beam L70,ASSY914-10,10/05/2022,10/05/2022
ASSY914-11,Active,SL,19200. STREET LIGHTING MATERIALS,LED Floodlight Symmetrical WideBeam L100,ASSY914-11,10/05/2022,10/05/2022
ASSY914-12,Active,SL,19200. STREET LIGHTING MATERIALS,LED Floodlight Symmetrical WideBeam L200,ASSY914-12,10/05/2022,10/05/2022
ASSY915-1,Active,SL,19200. STREET LIGHTING MATERIALS,LED WATCHMAN FLOODLIGHT TO WOOD POLE,ASSY915-1,30/04/2019,30/04/2019
ASSY915-2,Active,SL,19200. STREET LIGHTING MATERIALS,LED WATCHMAN FLOODLIGHT TO STEEL/CONC PO,ASSY915-2,30/04/2019,30/04/2019
ASSY916-1,Active,SL,19200. STREET LIGHTING MATERIALS,WATCHMAN FLOODLIGHT TO WOOD POLE,ASSY916-1,30/04/2019,4/10/2019
ASSY916-2,Active,SL,19200. STREET LIGHTING MATERIALS,WATCHMAN FLOODLIGHT TO STEEL/CONC POLE,ASSY916-2,30/04/2019,4/10/2019
ASSY917-1,Active,SL,19200. STREET LIGHTING MATERIALS,Glare Shield Philips RoadFlair BRP391,ASSY917-1,27/02/2023,5/04/2024
ASSY917-10,Active,SL,19200. STREET LIGHTING MATERIALS,Syl-Sch Glare Shield StreetLED2/3 Front,ASSY917-10,5/04/2024,5/04/2024
ASSY917-2,Active,SL,19200. STREET LIGHTING MATERIALS,Glare Shield Philips RoadFlair BRP392,ASSY917-2,27/02/2023,5/04/2024
ASSY917-3,Active,SL,19200. STREET LIGHTING MATERIALS,Glare Shield Philips RoadFlair BRP393,ASSY917-3,27/02/2023,5/04/2024
ASSY917-4,Active,SL,19200. STREET LIGHTING MATERIALS,Louvre Sylv-Schreder StreetLED3 Type 1,ASSY917-4,27/02/2023,5/04/2024
ASSY917-5,Active,SL,19200. STREET LIGHTING MATERIALS,Syl-Sch Glare Shield StreetLED3 360deg,ASSY917-5,30/05/2023,5/04/2024
ASSY917-6,Active,SL,19200. STREET LIGHTING MATERIALS,Syl-Sch Glare Shield StreetLED3 Rear,ASSY917-6,30/05/2023,5/04/2024
ASSY917-7,Active,SL,19200. STREET LIGHTING MATERIALS,Syl-Sch Glare Shield StreetLED3 Pathway,ASSY917-7,30/05/2023,5/04/2024
ASSY918-1,Active,SL,19200. STREET LIGHTING MATERIALS,Adaptor Major Road to Minor Road,ASSY918-1,30/05/2023,30/05/2023
ASSY919-1,Active,SL,19200. STREET LIGHTING MATERIALS,Philips Tango Glare Shield BVP431,ASSY919-1,30/05/2023,30/05/2023
ASSY919-2,Active,SL,19200. STREET LIGHTING MATERIALS,Philips Tango Glare Shield BVP432,ASSY919-2,30/05/2023,30/05/2023
ASSY920-1,Active,SL,19200. STREET LIGHTING MATERIALS,Pit Body Type 4,ASSY920-1,4/06/2024,4/06/2024
ASSY920-4,Active,SL,19200. STREET LIGHTING MATERIALS,Lockable Lid for Pit Body Type 4,ASSY920-4,4/06/2024,4/06/2024
ASSY920-7,Active,SL,19200. STREET LIGHTING MATERIALS,Padlockable Lid for Pit Body Type 4,ASSY920-7,4/06/2024,4/06/2024
MH250W,Active,SL,19200. STREET LIGHTING MATERIALS,GES HSI - 7SX - 250/CL Britelux,MH250W,31/01/2011,31/01/2011
P11M/SL,Active,SL,19200. STREET LIGHTING MATERIALS,11.0M WOOD POLE INSTALLED COST,P11M/SL,18/06/1990,16/06/2011
P11M/SL1,Active,SL,19200. STREET LIGHTING MATERIALS,11.0M WOOD POLE INSTALLED COST RATE 1,P11M/SL1,30/03/1990,16/06/2011
P12.5/SL1,Active,SL,19200. STREET LIGHTING MATERIALS,12.5 W/POLE INST.COST RATE1 NO TT1/MM1,P12.5/SL1,27/10/1993,14/03/2013
P12.5/SLB,Active,SL,19200. STREET LIGHTING MATERIALS,P12.5/8 WOOD PLE & BKT INST.COST RATE 2,P12.5/SLB,1/11/1990,16/06/2011
P12.5M/SLB,Active,SL,19200. STREET LIGHTING MATERIALS,P12.5/8 WOOD PLE INST.COST RATE 1&2,P12.5M/SLB,29/03/1990,16/06/2011
P14/SLB,Active,SL,19200. STREET LIGHTING MATERIALS,P14/12 HVY WD PLE & BKT INST.COST RATE 2,P14/SLB,1/11/1990,16/06/2011
P14/SLB1,Active,SL,19200. STREET LIGHTING MATERIALS,P14/12 HVY WD PLE & BKT INST.COST RATE 1,P14/SLB1,1/11/1990,16/06/2011
P14M/SL,Active,SL,19200. STREET LIGHTING MATERIALS,P14/12 HVY WOOD POLE INST.RATE 1&2,P14M/SL,29/03/1990,16/06/2011
SB105115O,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/105/115/OHStreetlightPole,BPM",SB105115O,11/10/2013,19/11/2015
SB105115OCI,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/105/115/OHCIStreetlightPole,BPM",SB105115OCI,11/10/2013,19/11/2015
SB105115OPC,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/115/OHPCStreetlightPoleBPM,SB105115OPC,14/02/2014,19/11/2015
SB105115U,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/105/115/UGStreetlightPole,BPM",SB105115U,11/10/2013,19/11/2015
SB105115UCI1,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/115/UGCI1StreetlightPoleBPM,SB105115UCI1,11/10/2013,19/11/2015
SB105115UPC,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/115/UGPCStreetlightPoleBPM,SB105115UPC,14/02/2014,19/11/2015
SB105115USS1,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/115/UGSS1StreetlightPoleBPM,SB105115USS1,11/10/2013,19/11/2015
SB105130O,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/105/130/OHStreetlightPole,BPM",SB105130O,11/10/2013,19/11/2015
SB105130OCI,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/105/130/OHCIStreetlightPole,BPM",SB105130OCI,11/10/2013,19/11/2015
SB105130OPC,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/130/OHPCStreetlightPoleBPM,SB105130OPC,14/02/2014,19/11/2015
SB105130U,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/105/130/UGStreetlightPole,BPM",SB105130U,11/10/2013,19/11/2015
SB105130UCI1,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/130/UGCI1StreetlightPoleBPM,SB105130UCI1,11/10/2013,19/11/2015
SB105130UPC,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/130/UGPCStreetlightPoleBPM,SB105130UPC,14/02/2014,19/11/2015
SB105130USS1,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/130/UGSS1StreetlightPoleBPM,SB105130USS1,11/10/2013,19/11/2015
SB105145O,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/105/145/OHStreetlightPole,BPM",SB105145O,11/10/2013,19/11/2015
SB105145OCI,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/105/145/OHCIStreetlightPole,BPM",SB105145OCI,11/10/2013,19/11/2015
SB105145OPC,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/145/OHPCStreetlightPoleBPM,SB105145OPC,14/02/2014,19/11/2015
SB105145U,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/105/145/UGStreetlightPole,BPM",SB105145U,11/10/2013,19/11/2015
SB105145UCI1,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/145/UGCI1StreetlightPoleBPM,SB105145UCI1,11/10/2013,19/11/2015
SB105145UPC,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/145/UGPCStreetlightPoleBPM,SB105145UPC,14/02/2014,19/11/2015
SB105145USS1,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/145/UGSS1StreetlightPoleBPM,SB105145USS1,11/10/2013,19/11/2015
SB105215O,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/105/215/OHStreetlightPole,BPM",SB105215O,11/10/2013,19/11/2015
SB105215OCI,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/105/215/OHCIStreetlightPole,BPM",SB105215OCI,11/10/2013,19/11/2015
SB105215OPC,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/215/OHPCStreetlightPoleBPM,SB105215OPC,14/02/2014,19/11/2015
SB105215U,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/105/215/UGStreetlightPole,BPM",SB105215U,11/10/2013,19/11/2015
SB105215UCI1,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/215/UGCI1StreetlightPoleBPM,SB105215UCI1,11/10/2013,19/11/2015
SB105215UPC,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/215/UGPCStreetlightPoleBPM,SB105215UPC,14/02/2014,19/11/2015
SB105215USS1,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/215/UGSS1StreetlightPoleBPM,SB105215USS1,11/10/2013,19/11/2015
SB105230O,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/105/230/OHStreetlightPole,BPM",SB105230O,11/10/2013,19/11/2015
SB105230OCI,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/105/230/OHCIStreetlightPole,BPM",SB105230OCI,11/10/2013,19/11/2015
SB105230OPC,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/230/OHPCStreetlightPoleBPM,SB105230OPC,14/02/2014,19/11/2015
SB105230U,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/105/230/UGStreetlightPole,BPM",SB105230U,11/10/2013,19/11/2015
SB105230UCI1,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/230/UGCI1StreetlightPoleBPM,SB105230UCI1,11/10/2013,19/11/2015
SB105230UPC,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/230/UGPCStreetlightPoleBPM,SB105230UPC,14/02/2014,19/11/2015
SB105230USS1,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/230/UGSS1StreetlightPoleBPM,SB105230USS1,11/10/2013,19/11/2015
SB105245O,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/105/245/OHStreetlightPole,BPM",SB105245O,11/10/2013,19/11/2015
SB105245OCI,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/105/245/OHCIStreetlightPole,BPM",SB105245OCI,11/10/2013,19/11/2015
SB105245OPC,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/245/OHPCStreetlightPoleBPM,SB105245OPC,14/02/2014,19/11/2015
SB105245U,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/105/245/UGStreetlightPole,BPM",SB105245U,11/10/2013,19/11/2015
SB105245UCI1,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/245/UGCI1StreetlightPoleBPM,SB105245UCI1,11/10/2013,19/11/2015
SB105245UPC,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/245/UGPCStreetlightPoleBPM,SB105245UPC,14/02/2014,19/11/2015
SB105245USS1,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/105/245/UGSS1StreetlightPoleBPM,SB105245USS1,11/10/2013,19/11/2015
SB120115O,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/120/115/OHStreetlightPole,BPM",SB120115O,11/10/2013,19/11/2015
SB120115OCI,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/120/115/OHCIStreetlightPole,BPM",SB120115OCI,11/10/2013,19/11/2015
SB120115OPC,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/120/115/OHPCStreetlightPoleBPM,SB120115OPC,14/02/2014,19/11/2015
SB120115U,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/120/115/UGStreetlightPole,BPM",SB120115U,11/10/2013,19/11/2015
SB120115UCI1,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/120/115/UGCI1StreetlightPoleBPM,SB120115UCI1,11/10/2013,19/11/2015
SB120115UPC,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/120/115/UGPCStreetlightPoleBPM,SB120115UPC,14/02/2014,19/11/2015
SB120115USS1,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/120/115/UGSS1StreetlightPoleBPM,SB120115USS1,11/10/2013,19/11/2015
SB120130O,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/120/130/OHStreetlightPole,BPM",SB120130O,11/10/2013,19/11/2015
SB120130OCI,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/120/130/OHCIStreetlightPole,BPM",SB120130OCI,11/10/2013,19/11/2015
SB120130OPC,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/120/130/OHPCStreetlightPoleBPM,SB120130OPC,14/02/2014,19/11/2015
SB120130U,Active,SL,19200. STREET LIGHTING MATERIALS,"SLBPM/120/130/UGStreetlightPole,BPM",SB120130U,11/10/2013,19/11/2015
SB120130UCI1,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/120/130/UGCI1StreetlightPoleBPM,SB120130UCI1,11/10/2013,19/11/2015
SB120130UPC,Active,SL,19200. STREET LIGHTING MATERIALS,SLBPM/120/130/UGPCStreetlightPoleBPM,SB120130UPC,14/02/2014,19/11/2015
